race_code,race_date,st65,p6_12_n,p6_12_win,p6_12_makuri,p6_12_makurizashi,p6_12_attack,second_score,second_rank,gap,attack_potential,st_score,straight_score,ex_score,lap_score,mawari_score,first,second,third
20240929TMG05,2024-09-29,内側より下,35,0.0,0.0,0.0,0.0,18.0,6,20.0,4.0,3.0,1.0,5.0,1.0,3.0,2,1,6
20240929TMG06,2024-09-29,内側より上,22,0.0,0.0,0.0,0.0,24.0,4,10.0,6.0,3.0,3.0,3.0,3.0,3.0,3,1,5
20240929TMG07,2024-09-29,内側より下,23,0.0,0.0,0.0,0.0,24.0,4,6.0,5.0,3.0,2.0,3.0,4.0,3.0,2,3,1
20240929TMG08,2024-09-29,内側より上,61,0.0,0.0,0.0,0.0,26.0,3,10.0,9.0,5.0,4.0,3.0,3.0,2.0,1,2,3
20240929TMG09,2024-09-29,内側より上,28,0.0,0.0,0.0,0.0,18.0,6,20.0,4.0,3.0,1.0,3.0,1.0,4.0,1,2,6
20240929TMG10,2024-09-29,内側より下,28,3.5714285714285716,0.0,0.0,0.0,22.0,4,11.0,4.0,3.0,1.0,3.0,3.0,4.0,1,3,6
20240929TMG11,2024-09-29,内側より下,39,5.128205128205129,0.0,5.128205128205129,5.128205128205129,34.0,1,0.0,8.0,5.0,3.0,3.0,5.0,5.0,1,5,6
20240929TMG12,2024-09-29,内側より下,25,0.0,0.0,0.0,0.0,17.0,6,15.0,4.0,3.0,1.0,4.0,1.0,3.0,4,2,1
20240930TMG01,2024-09-30,内側より上,62,0.0,0.0,0.0,0.0,26.0,2,6.0,8.0,3.0,5.0,3.0,3.0,2.0,1,2,5
20240930TMG02,2024-09-30,内側より上,23,0.0,0.0,0.0,0.0,24.0,4,10.0,6.0,5.0,1.0,5.0,2.0,4.0,2,1,3
20240930TMG03,2024-09-30,内側より上,35,8.571428571428571,2.857142857142857,5.714285714285714,8.571428571428571,34.0,1,0.0,10.0,5.0,5.0,3.0,4.0,4.0,1,5,4
20240930TMG04,2024-09-30,内側より下,30,0.0,0.0,0.0,0.0,29.0,1,0.0,6.0,5.0,1.0,4.0,5.0,4.0,4,2,1
20240930TMG05,2024-09-30,内側より下,35,2.857142857142857,0.0,2.857142857142857,2.857142857142857,18.0,6,15.0,4.0,3.0,1.0,3.0,1.0,4.0,1,3,
20240930TMG06,2024-09-30,内側より上,62,0.0,0.0,0.0,0.0,19.0,6,17.0,3.0,2.0,1.0,3.0,1.0,5.0,1,4,3
20240930TMG07,2024-09-30,内側より下,30,0.0,0.0,0.0,0.0,22.0,5,10.0,4.0,1.0,3.0,3.0,3.0,3.0,1,2,4
